id;emp_code;book_code;status;borrow_date;intended_return_date;return_date;number_of_expiration_date;book_category;create_user;create_date;update_user;update_date
1;16374;paradigms Functionality integrate;Shoes deposit deposit;2022-10-27;2022-10-27;2022-10-27;19792;29269;36470;2022-10-26T10:03:15;6231;2022-10-26T16:17:23
2;23350;Fresh Brooks;Oklahoma portals Customer-focused;2022-10-27;2022-10-27;2022-10-26;44815;32488;52890;2022-10-26T10:31:54;82688;2022-10-26T09:41:52
3;59705;Managed iterate;frictionless AGP ADP;2022-10-26;2022-10-27;2022-10-26;37660;42519;13317;2022-10-26T17:32:22;62278;2022-10-26T18:42:10
4;78561;plum Yen Profound;front-end Loaf Health;2022-10-26;2022-10-26;2022-10-26;79602;83542;37150;2022-10-26T17:47:35;1981;2022-10-26T20:29:04
5;9549;feed;Fantastic Liaison e-business;2022-10-26;2022-10-26;2022-10-27;73649;30172;21405;2022-10-26T20:45:03;67768;2022-10-26T18:03:07
6;65517;indexing white;Stream;2022-10-27;2022-10-27;2022-10-26;82958;36924;61042;2022-10-26T14:36:59;87775;2022-10-26T08:36:56
7;37172;Pizza;feed;2022-10-26;2022-10-26;2022-10-26;44013;84021;43496;2022-10-26T07:21:56;17267;2022-10-26T20:10:20
8;92745;Dollar rich;Landing integrate;2022-10-26;2022-10-26;2022-10-26;5603;91920;13516;2022-10-26T07:22:19;91119;2022-10-26T17:15:01
9;30249;Loan Hat JBOD;Rustic;2022-10-26;2022-10-26;2022-10-26;88380;86204;36313;2022-10-26T04:12:58;11324;2022-10-27T00:17:49
10;33342;port Account;Pa'anga;2022-10-26;2022-10-26;2022-10-26;66312;53419;66345;2022-10-26T11:57:10;54478;2022-10-26T05:52:44
