id;book_code;book_name;author;publisher;book_category;input_date;status;borrower;borrow_date;intended_return_date;create_user;create_date;update_user;update_date;book_image;is_active
1;multi-byte HTTP Shoes;indigo sexy;open-source;Health compress Nevada;23478;2022-10-26T09:22:22;deposit Credit transmit;98574;2022-10-26;2022-10-26;53144;2022-10-26T11:06:39;40368;2022-10-26T17:59:31;Squares Licensed heuristic;Granite
2;Islands Licensed Steel;connect;asymmetric;User matrix digital;28392;2022-10-27T02:11:49;e-commerce SCSI;40894;2022-10-26;2022-10-26;91724;2022-10-26T07:34:02;11781;2022-10-26T19:23:07;olive;encryption Cotton Gateway
3;Soft core;Automotive;Awesome;Soap generating Car;56556;2022-10-26T06:00:06;sticky Gorgeous;38303;2022-10-26;2022-10-26;3529;2022-10-26T23:28:35;23334;2022-10-26T10:41:22;Paradigm connecting Belarus;Renminbi connecting bluetooth
4;Montana;green;Outdoors;IB;35374;2022-10-26T11:51:19;primary;55912;2022-10-26;2022-10-26;27964;2022-10-26T15:41:24;30337;2022-10-26T18:58:22;Upgradable;quantify cultivate
5;auxiliary;facilitate Generic Phased;Tools;red;35409;2022-10-26T06:52:01;Manager synergies;10281;2022-10-26;2022-10-26;98757;2022-10-26T21:24:30;28055;2022-10-26T06:05:08;Bacon;Concrete monetize drive
6;Turnpike;static Loan;Shoes;Research Rubber;53704;2022-10-26T08:21:49;payment non-volatile;3820;2022-10-26;2022-10-26;26216;2022-10-26T04:07:39;49294;2022-10-26T23:34:54;Lead Emirates;Principal protocol
7;orchid channels radical;service-desk Ball Bacon;Cotton;web-readiness Investment;15923;2022-10-26T17:59:11;Assurance;78289;2022-10-26;2022-10-26;7019;2022-10-26T14:59:44;52097;2022-10-26T07:16:37;Shoes Sleek modular;invoice
8;Illinois Ergonomic;black sticky;1080p deliverables;wireless multi-byte THX;13686;2022-10-26T05:17:33;haptic and Ergonomic;12252;2022-10-26;2022-10-26;36978;2022-10-26T18:54:49;69152;2022-10-26T05:53:37;Rica Chair redundant;States Nepal
9;Cotton California;AGP;Global;dynamic;84370;2022-10-27T00:16:07;Refined Quality Officer;23831;2022-10-26;2022-10-26;19585;2022-10-26T23:34:21;24299;2022-10-26T08:39:14;Persistent Account;synthesize
10;Legacy;circuit Fresh Orchestrator;AGP;Views Salad Chips;22421;2022-10-26T04:29:50;Rustic Frozen;20026;2022-10-26;2022-10-26;87482;2022-10-26T08:24:40;57892;2022-10-26T11:22:19;Shirt;Car
